date,maxt,mint
1869-04-09,47,33
1870-04-09,66,44
1871-04-09,83,62
1872-04-09,54,41
1873-04-09,50,39
1874-04-09,42,36
1875-04-09,47,37
1876-04-09,43,29
1877-04-09,49,36
1878-04-09,53,43
1879-04-09,69,43
1880-04-09,49,31
1881-04-09,56,37
1882-04-09,53,44
1883-04-09,62,42
1884-04-09,41,37
1885-04-09,39,27
1886-04-09,65,34
1887-04-09,63,37
1888-04-09,51,30
1889-04-09,59,39
1890-04-09,46,40
1891-04-09,48,31
1892-04-09,51,33
1893-04-09,56,41
1894-04-09,48,32
1895-04-09,64,53
1896-04-09,51,34
1897-04-09,47,44
1898-04-09,57,40
1899-04-09,46,39
1900-04-09,42,31
1901-04-09,49,39
1902-04-09,48,43
1903-04-09,64,47
1904-04-09,57,44
1905-04-09,56,39
1906-04-09,51,38
1907-04-09,41,36
1908-04-09,64,46
1909-04-09,51,39
1910-04-09,54,43
1911-04-09,42,34
1912-04-09,63,33
1913-04-09,45,35
1914-04-09,44,35
1915-04-09,68,51
1916-04-09,43,32
1917-04-09,40,28
1918-04-09,51,34
1919-04-09,54,44
1920-04-09,45,29
1921-04-09,72,49
1922-04-09,65,51
1923-04-09,50,32
1924-04-09,53,37
1925-04-09,56,39
1926-04-09,61,43
1927-04-09,48,34
1928-04-09,52,39
1929-04-09,71,53
1930-04-09,50,33
1931-04-09,63,46
1932-04-09,45,41
1933-04-09,60,40
1934-04-09,69,44
1935-04-09,42,37
1936-04-09,47,36
1937-04-09,45,36
1938-04-09,49,37
1939-04-09,46,33
1940-04-09,61,43
1941-04-09,59,39
1942-04-09,49,33
1943-04-09,58,39
1944-04-09,59,45
1945-04-09,71,46
1946-04-09,57,36
1947-04-09,48,42
1948-04-09,54,37
1949-04-09,50,40
1950-04-09,46,27
1951-04-09,68,46
1952-04-09,54,42
1953-04-09,60,48
1954-04-09,56,35
1955-04-09,63,39
1956-04-09,52,34
1957-04-09,45,34
1958-04-09,52,29
1959-04-09,71,52
1960-04-09,47,36
1961-04-09,52,35
1962-04-09,61,47
1963-04-09,55,40
1964-04-09,47,38
1965-04-09,58,42
1966-04-09,53,40
1967-04-09,59,38
1968-04-09,74,55
1969-04-09,64,41
1970-04-09,76,51
1971-04-09,67,42
1972-04-09,51,29
1973-04-09,55,37
1974-04-09,40,32
1975-04-09,52,33
1976-04-09,51,35
1977-04-09,44,25
1978-04-09,57,34
1979-04-09,41,37
1980-04-09,57,55
1981-04-09,75,55
1982-04-09,39,34
1983-04-09,58,48
1984-04-09,58,35
1985-04-09,47,32
1986-04-09,55,43
1987-04-09,61,46
1988-04-09,66,43
1989-04-09,56,41
1990-04-09,62,40
1991-04-09,86,68
1992-04-09,60,45
1993-04-09,63,44
1994-04-09,55,42
1995-04-09,68,41
1996-04-09,40,33
1997-04-09,42,30
1998-04-09,50,37
1999-04-09,64,42
2000-04-09,50,30
2001-04-09,78,45
2002-04-09,76,52
2003-04-09,39,35
2004-04-09,62,45
2005-04-09,63,45
2006-04-09,58,37
2007-04-09,49,32
2008-04-09,58,40
2009-04-09,63,41
2010-04-09,68,44
2011-04-09,58,40
2012-04-09,64,49
2013-04-09,82,51
2014-04-09,61,45
2015-04-09,43,37
2016-04-09,43,36
2017-04-09,67,45
2018-04-09,48.9,32
2019-04-09,51.1,46
